,date,ISIN,Your Prediction
83,2019-03-05,US032095AH42,
84,2019-03-05,US032095AH42,
85,2019-03-05,US032095AH42,
86,2019-03-05,US032095AH42,
87,2019-03-05,US032095AH42,
88,2019-03-05,US032095AH42,
89,2019-03-05,US032095AH42,
90,2019-03-05,US06051GEH83,
91,2019-03-05,US06051GEH83,
92,2019-03-05,US06051GEH83,
93,2019-03-05,US06051GEH83,
94,2019-03-05,US06051GEH83,
95,2019-03-05,US06051GEH83,
96,2019-03-05,US06051GEH83,
97,2019-03-05,US06051GEH83,
98,2019-03-05,US06051GEH83,
99,2019-03-05,US06051GEH83,
100,2019-03-05,US06366RJJ59,
101,2019-03-05,US06366RJJ59,
102,2019-03-05,US06366RJJ59,
103,2019-03-05,US06366RJJ59,
104,2019-03-05,US06366RJJ59,
105,2019-03-05,US06366RJJ59,
106,2019-03-05,US06366RJJ59,
107,2019-03-05,US06366RJJ59,
108,2019-03-05,US06366RJJ59,
109,2019-03-05,US06366RJJ59,
110,2019-03-05,US075887BA64,
111,2019-03-05,US075887BA64,
112,2019-03-05,US075887BA64,
113,2019-03-05,US075887BA64,
114,2019-03-05,US075887BA64,
115,2019-03-05,US075887BA64,
116,2019-03-05,US075887BA64,
117,2019-03-05,US075887BA64,
118,2019-03-05,US075887BA64,
119,2019-03-05,US075887BA64,
120,2019-03-05,US126408GV99,
121,2019-03-05,US126408GV99,
122,2019-03-05,US126408GV99,
123,2019-03-05,US126408GV99,
124,2019-03-05,US126408GV99,
125,2019-03-05,US126408GV99,
126,2019-03-05,US126408GV99,
127,2019-03-05,US126408GV99,
128,2019-03-05,US126408GV99,
129,2019-03-05,US126408GV99,
130,2019-03-05,US126408HE65,
131,2019-03-05,US126408HE65,
132,2019-03-05,US126408HE65,
133,2019-03-05,US126408HE65,
134,2019-03-05,US126408HE65,
135,2019-03-05,US126408HE65,
136,2019-03-05,US126408HE65,
137,2019-03-05,US126408HE65,
138,2019-03-05,US126408HE65,
139,2019-03-05,US126408HE65,
140,2019-03-05,US14149YBE77,
141,2019-03-05,US14149YBE77,
142,2019-03-05,US14149YBE77,
143,2019-03-05,US14149YBE77,
144,2019-03-05,US14149YBE77,
145,2019-03-05,US14149YBE77,
146,2019-03-05,US14149YBE77,
147,2019-03-05,US14149YBE77,
148,2019-03-05,US14149YBE77,
149,2019-03-05,US14149YBE77,
150,2019-03-05,US142339AF70,
151,2019-03-05,US142339AF70,
152,2019-03-05,US142339AF70,
153,2019-03-05,US142339AF70,
154,2019-03-05,US142339AF70,
155,2019-03-05,US142339AF70,
156,2019-03-05,US142339AF70,
157,2019-03-05,US142339AF70,
158,2019-03-05,US142339AF70,
159,2019-03-05,US142339AF70,
160,2019-03-05,US205887CD22,
161,2019-03-05,US205887CD22,
162,2019-03-05,US205887CD22,
163,2019-03-05,US205887CD22,
164,2019-03-05,US205887CD22,
165,2019-03-05,US205887CD22,
166,2019-03-05,US205887CD22,
167,2019-03-05,US205887CD22,
168,2019-03-05,US205887CD22,
169,2019-03-05,US205887CD22,
170,2019-03-05,US209111FQ16,
171,2019-03-05,US209111FQ16,
172,2019-03-05,US209111FQ16,
173,2019-03-05,US209111FQ16,
174,2019-03-05,US209111FQ16,
175,2019-03-05,US209111FQ16,
176,2019-03-05,US209111FQ16,
177,2019-03-05,US209111FQ16,
178,2019-03-05,US209111FQ16,
179,2019-03-05,US209111FQ16,
180,2019-03-05,US21036PAK49,
181,2019-03-05,US21036PAK49,
182,2019-03-05,US21036PAK49,
183,2019-03-05,US21036PAK49,
184,2019-03-05,US21036PAK49,
185,2019-03-05,US21036PAK49,
186,2019-03-05,US21036PAK49,
187,2019-03-05,US21036PAK49,
188,2019-03-05,US21036PAK49,
189,2019-03-05,US21036PAK49,
190,2019-03-05,US23331ABH14,
191,2019-03-05,US23331ABH14,
192,2019-03-05,US23331ABH14,
193,2019-03-05,US23331ABH14,
194,2019-03-05,US23331ABH14,
195,2019-03-05,US23331ABH14,
196,2019-03-05,US23331ABH14,
197,2019-03-05,US23331ABH14,
198,2019-03-05,US23331ABH14,
199,2019-03-05,US23331ABH14,
200,2019-03-05,US25468PBW59,
201,2019-03-05,US25468PBW59,
202,2019-03-05,US25468PBW59,
203,2019-03-05,US25468PBW59,
204,2019-03-05,US25468PBW59,
205,2019-03-05,US25468PBW59,
206,2019-03-05,US25468PBW59,
207,2019-03-05,US25468PBW59,
208,2019-03-05,US25468PBW59,
209,2019-03-05,US25468PBW59,
210,2019-03-05,US26442CAM64,
211,2019-03-05,US26442CAM64,
212,2019-03-05,US26442CAM64,
213,2019-03-05,US26442CAM64,
214,2019-03-05,US26442CAM64,
215,2019-03-05,US26442CAM64,
216,2019-03-05,US26442CAM64,
217,2019-03-05,US26442CAM64,
218,2019-03-05,US26442CAM64,
219,2019-03-05,US26442CAM64,
220,2019-03-05,US29273RBG39,
221,2019-03-05,US29273RBG39,
222,2019-03-05,US29273RBG39,
223,2019-03-05,US29273RBG39,
224,2019-03-05,US29273RBG39,
225,2019-03-05,US29273RBG39,
226,2019-03-05,US29273RBG39,
227,2019-03-05,US29273RBG39,
228,2019-03-05,US29273RBG39,
229,2019-03-05,US29273RBG39,
230,2019-03-05,US31428XBU90,
231,2019-03-05,US31428XBU90,
232,2019-03-05,US31428XBU90,
233,2019-03-05,US31428XBU90,
234,2019-03-05,US31428XBU90,
235,2019-03-05,US31428XBU90,
236,2019-03-05,US31428XBU90,
237,2019-03-05,US31428XBU90,
238,2019-03-05,US31428XBU90,
239,2019-03-05,US31428XBU90,
240,2019-03-05,US428236BF92,
241,2019-03-05,US428236BF92,
242,2019-03-05,US428236BF92,
243,2019-03-05,US428236BF92,
244,2019-03-05,US428236BF92,
245,2019-03-05,US428236BF92,
246,2019-03-05,US428236BF92,
247,2019-03-05,US428236BF92,
248,2019-03-05,US428236BF92,
249,2019-03-05,US428236BF92,
250,2019-03-05,US428236BM44,
251,2019-03-05,US428236BM44,
252,2019-03-05,US428236BM44,
253,2019-03-05,US428236BM44,
254,2019-03-05,US428236BM44,
255,2019-03-05,US428236BM44,
256,2019-03-05,US428236BM44,
257,2019-03-05,US428236BM44,
258,2019-03-05,US428236BM44,
259,2019-03-05,US428236BM44,
260,2019-03-05,US42824CAX74,
261,2019-03-05,US42824CAX74,
262,2019-03-05,US42824CAX74,
263,2019-03-05,US42824CAX74,
264,2019-03-05,US42824CAX74,
265,2019-03-05,US42824CAX74,
266,2019-03-05,US42824CAX74,
267,2019-03-05,US42824CAX74,
268,2019-03-05,US42824CAX74,
269,2019-03-05,US42824CAX74,
270,2019-03-05,US445658CE53,
271,2019-03-05,US445658CE53,
272,2019-03-05,US445658CE53,
273,2019-03-05,US445658CE53,
274,2019-03-05,US445658CE53,
275,2019-03-05,US445658CE53,
276,2019-03-05,US445658CE53,
277,2019-03-05,US445658CE53,
278,2019-03-05,US445658CE53,
279,2019-03-05,US445658CE53,
280,2019-03-05,US452308AQ28,
281,2019-03-05,US452308AQ28,
282,2019-03-05,US452308AQ28,
283,2019-03-05,US452308AQ28,
284,2019-03-05,US452308AQ28,
285,2019-03-05,US452308AQ28,
286,2019-03-05,US452308AQ28,
287,2019-03-05,US452308AQ28,
288,2019-03-05,US452308AQ28,
289,2019-03-05,US452308AQ28,
290,2019-03-05,US458140AR18,
291,2019-03-05,US458140AR18,
292,2019-03-05,US458140AR18,
293,2019-03-05,US458140AR18,
294,2019-03-05,US458140AR18,
295,2019-03-05,US458140AR18,
296,2019-03-05,US458140AR18,
297,2019-03-05,US458140AR18,
298,2019-03-05,US458140AR18,
299,2019-03-05,US458140AR18,
300,2019-03-05,US496902AN77,
301,2019-03-05,US496902AN77,
302,2019-03-05,US496902AN77,
303,2019-03-05,US496902AN77,
304,2019-03-05,US496902AN77,
305,2019-03-05,US496902AN77,
306,2019-03-05,US496902AN77,
307,2019-03-05,US496902AN77,
308,2019-03-05,US496902AN77,
309,2019-03-05,US496902AN77,
310,2019-03-05,US50076QAE61,
311,2019-03-05,US50076QAE61,
312,2019-03-05,US50076QAE61,
313,2019-03-05,US50076QAE61,
314,2019-03-05,US50076QAE61,
315,2019-03-05,US50076QAE61,
316,2019-03-05,US50076QAE61,
317,2019-03-05,US50076QAE61,
318,2019-03-05,US50076QAE61,
319,2019-03-05,US50076QAE61,
320,2019-03-05,US501044DH11,
321,2019-03-05,US501044DH11,
322,2019-03-05,US501044DH11,
323,2019-03-05,US501044DH11,
324,2019-03-05,US501044DH11,
325,2019-03-05,US501044DH11,
326,2019-03-05,US501044DH11,
327,2019-03-05,US501044DH11,
328,2019-03-05,US501044DH11,
329,2019-03-05,US501044DH11,
330,2019-03-05,US539439AP41,
331,2019-03-05,US539439AP41,
332,2019-03-05,US539439AP41,
333,2019-03-05,US539439AP41,
334,2019-03-05,US539439AP41,
335,2019-03-05,US539439AP41,
336,2019-03-05,US539439AP41,
337,2019-03-05,US539439AP41,
338,2019-03-05,US539439AP41,
339,2019-03-05,US539439AP41,
340,2019-03-05,US55616XAN75,
341,2019-03-05,US55616XAN75,
342,2019-03-05,US55616XAN75,
343,2019-03-05,US55616XAN75,
344,2019-03-05,US55616XAN75,
345,2019-03-05,US55616XAN75,
346,2019-03-05,US55616XAN75,
347,2019-03-05,US55616XAN75,
348,2019-03-05,US55616XAN75,
349,2019-03-05,US55616XAN75,
350,2019-03-05,US559222AQ72,
351,2019-03-05,US559222AQ72,
352,2019-03-05,US559222AQ72,
353,2019-03-05,US559222AQ72,
354,2019-03-05,US559222AQ72,
355,2019-03-05,US559222AQ72,
356,2019-03-05,US559222AQ72,
357,2019-03-05,US559222AQ72,
358,2019-03-05,US559222AQ72,
359,2019-03-05,US559222AQ72,
360,2019-03-05,US637417AK28,
361,2019-03-05,US637417AK28,
362,2019-03-05,US637417AK28,
363,2019-03-05,US637417AK28,
364,2019-03-05,US637417AK28,
365,2019-03-05,US637417AK28,
366,2019-03-05,US637417AK28,
367,2019-03-05,US637417AK28,
368,2019-03-05,US637417AK28,
369,2019-03-05,US637417AK28,
370,2019-03-05,US67073YAA47,
371,2019-03-05,US67073YAA47,
372,2019-03-05,US67073YAA47,
373,2019-03-05,US67073YAA47,
374,2019-03-05,US67073YAA47,
375,2019-03-05,US67073YAA47,
376,2019-03-05,US67073YAA47,
377,2019-03-05,US67073YAA47,
378,2019-03-05,US67073YAA47,
379,2019-03-05,US67073YAA47,
380,2019-03-05,US69371RP757,
381,2019-03-05,US69371RP757,
382,2019-03-05,US69371RP757,
383,2019-03-05,US69371RP757,
384,2019-03-05,US69371RP757,
385,2019-03-05,US69371RP757,
386,2019-03-05,US69371RP757,
387,2019-03-05,US69371RP757,
388,2019-03-05,US69371RP757,
389,2019-03-05,US69371RP757,
390,2019-03-05,US695114CG18,
391,2019-03-05,US695114CG18,
392,2019-03-05,US695114CG18,
393,2019-03-05,US695114CG18,
394,2019-03-05,US695114CG18,
395,2019-03-05,US695114CG18,
396,2019-03-05,US695114CG18,
397,2019-03-05,US695114CG18,
398,2019-03-05,US695114CG18,
399,2019-03-05,US695114CG18,
400,2019-03-05,US756109AT12,
401,2019-03-05,US756109AT12,
402,2019-03-05,US756109AT12,
403,2019-03-05,US756109AT12,
404,2019-03-05,US756109AT12,
405,2019-03-05,US756109AT12,
406,2019-03-05,US756109AT12,
407,2019-03-05,US756109AT12,
408,2019-03-05,US756109AT12,
409,2019-03-05,US756109AT12,
410,2019-03-05,US808513AW57,
411,2019-03-05,US808513AW57,
412,2019-03-05,US808513AW57,
413,2019-03-05,US808513AW57,
414,2019-03-05,US808513AW57,
415,2019-03-05,US808513AW57,
416,2019-03-05,US808513AW57,
417,2019-03-05,US808513AW57,
418,2019-03-05,US808513AW57,
419,2019-03-05,US808513AW57,
420,2019-03-05,US84756NAG43,
421,2019-03-05,US84756NAG43,
422,2019-03-05,US84756NAG43,
423,2019-03-05,US84756NAG43,
424,2019-03-05,US84756NAG43,
425,2019-03-05,US84756NAG43,
426,2019-03-05,US84756NAG43,
427,2019-03-05,US84756NAG43,
428,2019-03-05,US84756NAG43,
429,2019-03-05,US84756NAG43,
430,2019-03-05,US84861TAC27,
431,2019-03-05,US84861TAC27,
432,2019-03-05,US84861TAC27,
433,2019-03-05,US84861TAC27,
434,2019-03-05,US84861TAC27,
435,2019-03-05,US84861TAC27,
436,2019-03-05,US84861TAC27,
437,2019-03-05,US84861TAC27,
438,2019-03-05,US84861TAC27,
439,2019-03-05,US84861TAC27,
440,2019-03-05,US85205TAJ97,
441,2019-03-05,US85205TAJ97,
442,2019-03-05,US85205TAJ97,
443,2019-03-05,US85205TAJ97,
444,2019-03-05,US85205TAJ97,
445,2019-03-05,US85205TAJ97,
446,2019-03-05,US85205TAJ97,
447,2019-03-05,US85205TAJ97,
448,2019-03-05,US85205TAJ97,
449,2019-03-05,US85205TAJ97,
450,2019-03-05,US92343VAX29,
451,2019-03-05,US92343VAX29,
452,2019-03-05,US92343VAX29,
453,2019-03-05,US92343VAX29,
454,2019-03-05,US92343VAX29,
455,2019-03-05,US92343VAX29,
456,2019-03-05,US92343VAX29,
457,2019-03-05,US92343VAX29,
458,2019-03-05,US92343VAX29,
459,2019-03-05,US92343VAX29,
460,2019-03-05,US92343VCC63,
461,2019-03-05,US92343VCC63,
462,2019-03-05,US92343VCC63,
463,2019-03-05,US92343VCC63,
464,2019-03-05,US92343VCC63,
465,2019-03-05,US92343VCC63,
466,2019-03-05,US92343VCC63,
467,2019-03-05,US92343VCC63,
468,2019-03-05,US92343VCC63,
469,2019-03-05,US92343VCC63,
470,2019-03-05,US927804FT61,
471,2019-03-05,US927804FT61,
472,2019-03-05,US927804FT61,
473,2019-03-05,US927804FT61,
474,2019-03-05,US927804FT61,
475,2019-03-05,US927804FT61,
476,2019-03-05,US927804FT61,
477,2019-03-05,US927804FT61,
478,2019-03-05,US927804FT61,
479,2019-03-05,US927804FT61,
480,2019-03-05,US931142DP52,
481,2019-03-05,US931142DP52,
482,2019-03-05,US931142DP52,
483,2019-03-05,US931142DP52,
484,2019-03-05,US931142DP52,
485,2019-03-05,US931142DP52,
486,2019-03-05,US931142DP52,
487,2019-03-05,US931142DP52,
488,2019-03-05,US931142DP52,
489,2019-03-05,US931142DP52,
490,2019-03-05,US942683AH65,
491,2019-03-05,US942683AH65,
492,2019-03-05,US942683AH65,
493,2019-03-05,US942683AH65,
494,2019-03-05,US942683AH65,
495,2019-03-05,US942683AH65,
496,2019-03-05,US942683AH65,
497,2019-03-05,US942683AH65,
498,2019-03-05,US942683AH65,
499,2019-03-05,US942683AH65,
